,0
0,keyword
1,source_file
2,asin
3,item_name
4,brand
5,image_count
6,main_image_url
7,has_aplus
8,has_brand_story
9,review_count
10,avg_rating
11,bsr_best
12,bsr_paths
13,units_per_month
14,sales_velocity_daily
15,product_url
16,image_list
17,image_path
18,edge_density
19,bg_white_pct
20,bg_neutral_pct
21,n_clusters_sig
22,color_entropy
23,largest_cluster_pct
24,edge_density_z
25,n_clusters_sig_z
26,color_entropy_z
27,bg_white_pct_z
28,bg_neutral_pct_z
29,largest_cluster_pct_z
30,clutter_score
31,sd_title
32,sd_parent_asin
33,sd_price
34,sd_list_price
35,sd_previous_price
36,sd_price_symbol
37,sd_availability_status
38,sd_aplus
39,sd_is_prime_exclusive
40,sd_is_frequently_returned
41,sd_number_bought_past_month
42,sd_average_rating
43,sd_total_reviews
44,sd_ratings_count
45,sd_stars
46,sd_ratings_distribution
47,sd_customer_sentiments
48,sd_error
49,sd_errors
50,sd_rating_pct_1
51,sd_rating_pct_2
52,sd_rating_pct_3
53,sd_rating_pct_4
54,sd_rating_pct_5
55,sd_sent_360_rotation
56,sd_sent_3d_effect
57,sd_sent_4k_performance
58,sd_sent_Ability_to_pick_up_channels
59,sd_sent_Access_control
60,sd_sent_Access_to_local_channels
61,sd_sent_Accessibility
62,sd_sent_Accessories
63,sd_sent_Accessory_compatibility
64,sd_sent_Accessory_pack
65,sd_sent_Accessory_quality
66,sd_sent_Accessory_size
67,sd_sent_Accessory_value
68,sd_sent_Accuracy
69,sd_sent_Acting_quality
70,sd_sent_Action_button_lock
71,sd_sent_Action_content
72,sd_sent_Action_level
73,sd_sent_Activity_tracker
74,sd_sent_Activity_tracking
75,sd_sent_Actuation
76,sd_sent_Actuation_adjustment
77,sd_sent_Actuation_force
78,sd_sent_Actuation_points
79,sd_sent_Actuation_quality
80,sd_sent_Adaptability
81,sd_sent_Adapter
82,sd_sent_Adapter_compatibility
83,sd_sent_Adapter_quality
84,sd_sent_Adapter_size
85,sd_sent_Addiction
86,sd_sent_Addition
87,sd_sent_Adherence
88,sd_sent_Adhesion
89,sd_sent_Adhesive_quality
90,sd_sent_Adhesive_strength
91,sd_sent_Adjustability
92,sd_sent_Adjusting_capability
93,sd_sent_Adjustment_ability
